Order ID;Order Date;Ship Date;Ship Mode;Customer ID;Customer Name;Segment;Country;City;State;Postal Code;Region;Product ID;Category;Sub-Category;Product Name;Sales;Quantity;Discount;Profit
CA-2016-152156;2016-11-08;2016-11-11;Second Class;CG-12520;Claire Gute;Consumer;United States;Henderson;Kentucky;42420;South;FUR-BO-10001798;Furniture;Bookcases;Bush Somerset Collection Bookcase;261,96;2;0;41,91
CA-2016-152156;2016-11-08;2016-11-11;Second Class;CG-12520;Claire Gute;Consumer;United States;Henderson;Kentucky;42420;South;FUR-CH-10000454;Furniture;Chairs;Hon Deluxe Fabric Upholstered Stacking Chairs;731,94;3;0;219,58
CA-2016-138688;2016-06-12;2016-06-16;Second Class;DV-13045;Darrin Van Huff;Corporate;United States;Los Angeles;California;90036;West;OFF-LA-10000240;Office Supplies;Labels;Self-Adhesive Address Labels for Typewriters by Universal;14,62;2;0;6,87
US-2015-108966;2015-10-11;2015-10-18;Standard Class;SO-20335;Sean O'Donnell;Consumer;United States;Fort Lauderdale;Florida;33311;South;FUR-TA-10000577;Furniture;Tables;Bretford CR4500 Series Slim Rectangular Table;957,58;5;0,45;0
US-2015-108966;2015-10-11;2015-10-18;Standard Class;SO-20335;Sean O'Donnell;Consumer;United States;Fort Lauderdale;Florida;33311;South;OFF-ST-10000760;Office Supplies;Storage;Eldon Fold 'N Roll Cart System;22,37;2;0,2;2,52
CA-2014-115812;2014-06-09;2014-06-14;Standard Class;BH-11710;Brosina Hoffman;Consumer;United States;Los Angeles;California;90032;West;FUR-FU-10001487;Furniture;Furnishings;Eldon Expressions Wood and Plastic Desk Accessories Cherry Wood;48,86;7;0;14,17
CA-2014-115812;2014-06-09;2014-06-14;Standard Class;BH-11710;Brosina Hoffman;Consumer;United States;Los Angeles;California;90032;West;OFF-AR-10002833;Office Supplies;Art;Newell 322;7,28;4;0;1,97
CA-2014-115812;2014-06-09;2014-06-14;Standard Class;BH-11710;Brosina Hoffman;Consumer;United States;Los Angeles;California;90032;West;TEC-PH-10002275;Technology;Phones;Mitel 5320 IP Phone VoIP phone;907,15;6;0,2;90,72
CA-2014-115812;2014-06-09;2014-06-14;Standard Class;BH-11710;Brosina Hoffman;Consumer;United States;Los Angeles;California;90032;West;OFF-BI-10003910;Office Supplies;Binders;DXL Angle-View Binders with Locking Rings by Samsill;18,5;3;0,2;5,78
CA-2014-115812;2014-06-09;2014-06-14;Standard Class;BH-11710;Brosina Hoffman;Consumer;United States;Los Angeles;California;90032;West;OFF-AP-10002892;Office Supplies;Appliances;Belkin F5C206VTEL 6 Outlet Surge;114,9;5;0;34,47
CA-2014-115812;2014-06-09;2014-06-14;Standard Class;BH-11710;Brosina Hoffman;Consumer;United States;Los Angeles;California;90032;West;FUR-TA-10001539;Furniture;Tables;Chromcraft Rectangular Conference Tables;1706,18;9;0,2;85,31
CA-2014-115812;2014-06-09;2014-06-14;Standard Class;BH-11710;Brosina Hoffman;Consumer;United States;Los Angeles;California;90032;West;TEC-PH-10002033;Technology;Phones;Konftel 250 Conference phone - Charcoal black;911,42;4;0,2;68,36
CA-2017-114412;2017-04-15;2017-04-20;Standard Class;AA-10480;Andrew Allen;Consumer;United States;Concord;North Carolina;28027;South;OFF-PA-10002365;Office Supplies;Paper;Xerox 1967;15,55;3;0,2;5,44
CA-2017-114412;2017-04-15;2017-04-20;Standard Class;AA-10480;Andrew Allen;Consumer;United States;Concord;North Carolina;28027;South;OFF-BI-10000756;Office Supplies;Binders;Fellowes PB200 Plastic Comb Binding Machine;407,98;3;0,2;132,59
US-2016-161389;2016-12-05;2016-12-10;Standard Class;IM-15070;Irene Maddox;Consumer;United States;Seattle;Washington;98103;West;OFF-ST-10004186;Office Supplies;Storage;Fellowes Super Stor/Drawer Filing Frame;68,81;5;0;17,2
US-2016-161389;2016-12-05;2016-12-10;Standard Class;IM-15070;Irene Maddox;Consumer;United States;Seattle;Washington;98103;West;OFF-AP-10001492;Office Supplies;Appliances;Acco Six-Outlet Power Strip 4' Cord Length;2,54;3;0,8;-3,83
CA-2015-143336;2015-08-27;2015-09-01;Second Class;HP-14815;Harold Pawlan;Home Office;United States;Fort Worth;Texas;76106;Central;OFF-PA-10004041;Office Supplies;Paper;Ampad Gold Fibre Wirebound Steno Books 6 x 9;665,88;6;0;13,32
CA-2015-143336;2015-08-27;2015-09-01;Second Class;HP-14815;Harold Pawlan;Home Office;United States;Fort Worth;Texas;76106;Central;OFF-BI-10002215;Office Supplies;Binders;Wilson Jones Legal Size Ring Binders;55,5;2;0;9,99
CA-2015-143336;2015-08-27;2015-09-01;Second Class;HP-14815;Harold Pawlan;Home Office;United States;Fort Worth;Texas;76106;Central;OFF-ST-10000078;Office Supplies;Storage;Akro Stacking Bins;55,5;4;0;9,44
US-2017-156909;2017-07-16;2017-07-18;First Class;PK-19075;Pete Kriz;Consumer;United States;Madison;Wisconsin;53711;Central;OFF-ST-10002743;Office Supplies;Storage;Stur-D-Stor Shelving 4 Shelf;213,48;3;0;16,62
US-2017-156909;2017-07-16;2017-07-18;First Class;PK-19075;Pete Kriz;Consumer;United States;Madison;Wisconsin;53711;Central;TEC-AC-10003027;Technology;Accessories;Belkin 325VA UPS Surge Protector 6' Cord 6 Outlets;71,37;2;0;21,41
CA-2016-115513;2016-03-25;2016-03-30;Second Class;AG-10270;Adam Grant;Consumer;United States;Minneapolis;Minnesota;55407;Central;FUR-CH-10003950;Furniture;Chairs;Global Troy Executive Leather Low-Back Tilter;665,88;6;0;13,32
CA-2016-115513;2016-03-25;2016-03-30;Second Class;AG-10270;Adam Grant;Consumer;United States;Minneapolis;Minnesota;55407;Central;OFF-BI-10004654;Office Supplies;Binders;Wilson Jones Ledger-Size Wilson Jones Column Write Pads;55,5;2;0;9,99
CA-2016-115513;2016-03-25;2016-03-30;Second Class;AG-10270;Adam Grant;Consumer;United States;Minneapolis;Minnesota;55407;Central;TEC-PH-10004093;Technology;Phones;Cisco SPA 501G IP Phone;213,11;3;0;31,97
